"Experiment","Site","es.measurement","d","vd","g","vg","r","var.r"
"Allowedforbidden","pi","md",0.840969511987697,0.0149361834514327,0.840489049497511,0.0149191216535468,0.387046934453755,0.00228687884416701
"Allowedforbidden","psu","md",0.904993848022295,0.192596222269227,0.897596078147453,0.189460379583956,0.407243537964166,0.0271366375746791
"Allowedforbidden","qccuny","md",1.21498513110783,0.131644005408484,1.20584990455815,0.129671838444086,0.518026800942705,0.0128105647736768
"Allowedforbidden","qccuny2","md",0.964916851576985,0.141380215321779,0.956064403397379,0.138797982620422,0.434129785947703,0.0188477106285093
"Allowedforbidden","sdsu","md",1.00910968437522,0.128994788304165,1.00431201551131,0.127771129243069,0.450435815257454,0.0163303359822215
"Allowedforbidden","swps","md",0.873371187401768,0.121780268800887,0.864836615537907,0.119411827409339,0.398869037347386,0.0179610684722843
"Allowedforbidden","swpson","md",0.543668902722822,0.0577962441027471,0.541208862439009,0.0572743845247427,0.262298094602476,0.0116655861922609
"Allowedforbidden","tamu","md",0.567658935979317,0.0453161777389357,0.56535450186844,0.0449489988783997,0.272954012607252,0.00897442169713434
"Allowedforbidden","tamuc","md",0.550517796951982,0.123070956521952,0.545645958040903,0.120902347765007,0.265241818559834,0.0246906645887378
"Allowedforbidden","tamuon","md",0.909090816310268,0.0587362484458065,0.905959619468786,0.058332332748999,0.411008164875851,0.00829220756508286
"Allowedforbidden","tilburg","md",0.791203566164669,0.103612972319962,0.783471935224949,0.101597857270864,0.367632830210873,0.016731847604705
"Allowedforbidden","ufl","md",0.908953138972701,0.135848325452765,0.903444332069836,0.134206668921123,0.413750969754335,0.0193356803369143
"Allowedforbidden","unipd","md",0.811871973235355,0.046467983378046,0.807514878566829,0.0459705598406163,0.375614251715106,0.00733773709605095
"Allowedforbidden","uva","md",0.612461556203564,0.132657986035784,0.606553566915427,0.130111011954991,0.290707187419523,0.0250491992027333
"Allowedforbidden","vcu","md",1.27243789012455,0.134533278373607,1.26323954393087,0.13259524926259,0.535081095600523,0.0121174939958907
"Allowedforbidden","wisc","md",0.919173740746226,0.13848532436057,0.911820350820256,0.13627842223156,0.416921371616252,0.0194474471273653
"Allowedforbidden","wku","md",0.741396972963857,0.142777899091768,0.735822559633302,0.140638934579398,0.347055558172207,0.024203649404156
"Allowedforbidden","wl","md",Inf,Inf,Inf,Inf,NA,NA
"Allowedforbidden","wpi","md",0.730998841144768,0.100779831353836,0.724529824851452,0.0990040100636319,0.343268073769343,0.0172945282800648
"Anchoring1","abington","md",1.11000182202699,0.068344680108621,1.09734020428523,0.0667943786283274,0.483823300149615,0.00761714208747148
"Anchoring1","brasilia","md",1.21779674806212,0.0667468796127852,1.20488724189892,0.0653392521025654,0.513969310150965,0.00643750014471669
"Anchoring1","charles","md",0.950510333242016,0.0665637412102334,0.939500561042301,0.0650306546407158,0.428893555295028,0.00902520252354123
"Anchoring1","conncoll","md",1.95428378992588,0.0739991516876478,1.93590494550651,0.0726138627855638,0.691915489053514,0.00252031398213134
"Anchoring1","csun","md",1.46046511762104,0.0592854084051181,1.4475406475536,0.0582407520584072,0.585390393788457,0.00411535957123783
"Anchoring1","help","md",1.9296599100667,0.0834405310085534,1.90920415130275,0.0816808504422653,0.684252796975219,0.0029671687902434
"Anchoring1","ithaca","md",1.16108340854545,0.0659325570962862,1.14841704408859,0.0645018750970134,0.501733129056148,0.00689331596832043
"Anchoring1","jmu","md",1.02008877002364,0.0334325981726634,1.01483959968046,0.0330894086754322,0.436225652974647,0.00400841407752096
"Anchoring1","ku","md",1.12540785229165,0.0702010820757553,1.11216775991175,0.068559008322011,0.490396238846733,0.00768930214993719
"Anchoring1","laurier","md",1.94159530885854,0.0884931390423118,1.91910578790651,0.0864549777176391,0.694582401626298,0.0030335644289565
"Anchoring1","lse","md",1.36300810807253,0.0214241855408773,1.3585779625425,0.0212851430598072,0.560158308905589,0.00170395895026011
"Anchoring1","luc","md",1.30720812139315,0.0388372204216252,1.29922110639482,0.0383640810353679,0.547095129788882,0.00333989168200706
"Anchoring1","mcdaniel","md",1.29579450248687,0.058652971892745,1.28375925942972,0.0575685027347822,0.542380546600792,0.00511938744595691
"Anchoring1","msvu","md",1.57013455007534,0.118485589690466,1.54258832989858,0.114364668904063,0.612823796190937,0.00703807994036739
"Anchoring1","mturk","md",1.0731629018114,0.00494314394253165,1.07229159228354,0.00493512044496166,0.472745657528915,0.000578392807477229
