"experiment","site","t","v","es","nt","nc","replicated","n"
"Anchoring4","wku",3.22327754969183,0.103513836056854,"d",56,35,1,91
"Anchoring4","wl",2.3662439311775,0.0827839538949546,"d",47,36,1,83
"Anchoring4","wpi",2.01290849202161,0.07582880423788,"d",36,44,1,80
"Flagpriming","abington",0.0675717426103825,0.048395804033355,"d",39,44,0,83
"Flagpriming","brasilia",-0.00254996090414583,0.0333704386613286,"d",62,58,0,120
"Flagpriming","charles",-0.0300397104779217,0.0499162447748423,"d",51,33,0,84
"Flagpriming","conncoll",-0.45106401201288,0.0441225203963205,"d",42,52,0,94
"Flagpriming","csun",-0.0661951201526536,0.0425764989038937,"d",47,47,0,94
"Flagpriming","help",-0.115328978238496,0.0398312817400781,"d",45,57,0,102
"Flagpriming","ithaca",-0.171606724092714,0.0451603874655397,"d",43,46,0,89
"Flagpriming","jmu",0.0435436644344162,0.0233117448376573,"d",82,90,0,172
"Flagpriming","ku",0.143439512709727,0.0364691836202359,"d",54,56,0,110
"Flagpriming","laurier",0.0430059819198421,0.036117634984957,"d",58,53,0,111
"Flagpriming","lse",0.0441516374397166,0.014572308872562,"d",132,143,0,275
"Flagpriming","luc",0.064492047600029,0.0277602281072675,"d",78,67,0,145
"Flagpriming","mcdaniel",0.0943354693287107,0.0408787373168714,"d",48,50,0,98
"Flagpriming","msvu",0.0890871558380592,0.0472689076418417,"d",45,40,0,85
"Flagpriming","mturk",0.0946538651031851,0.00407815189984792,"d",487,495,0,982
"Flagpriming","original",0.5,0.0625,"d",33,33,0,66
"Flagpriming","osu",0.276274296429861,0.0450939014834509,"d",35,62,0,97
"Flagpriming","oxy",-0.00552055994465143,0.0331145211196504,"d",58,63,0,121
"Flagpriming","pi",0.0257131149947838,0.00303080393028527,"d",654,666,0,1320
"Flagpriming","psu",0.0170213804286419,0.0439629445657504,"d",46,45,0,91
"Flagpriming","qccuny",-0.222254303179851,0.0406906561437295,"d",48,51,0,99
"Flagpriming","qccuny2",0.0210003908478473,0.0478629545745707,"d",48,37,0,85
"Flagpriming","sdsu",-0.113264697192751,0.025181510776602,"d",86,74,0,160
"Flagpriming","swps",0.191392529353248,0.0523738521786181,"d",34,44,0,78
"Flagpriming","swpson",-0.221081772110113,0.0239139459117548,"d",90,79,0,169
"Flagpriming","tamu",-0.270289930170925,0.0228798327982518,"d",107,75,0,182
"Flagpriming","tamuc",0.268975268347239,0.0475697489406365,"d",48,38,0,86
"Flagpriming","tamuon",-0.028688511414352,0.0183752547309957,"d",113,105,0,218
"Flagpriming","tilburg",0.205578821203494,0.0511040359740661,"d",42,37,0,79
"Flagpriming","ufl",-0.115124331713024,0.0326191483627182,"d",53,73,0,126
"Flagpriming","unipd",0.489104833675718,0.0290337201627274,"d",69,73,0,142
"Flagpriming","uva",-0.149178879272693,0.0506441401176821,"d",36,44,0,80
"Flagpriming","vcu",-0.0718279951764545,0.0381232616680762,"d",53,52,0,105
