"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated","t1","t2","v1","v2","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"hagger","RT",2,0.498828337049861,3.84145882069418,0.480015393578065,7.849,4.75884383138652,0.532142154011547,9.139,5.04323657468101,0.54834355527715,9.53133333333333,6.08289572202274,0.607789644468088,10.9426666666667,1,0.29,0.0811728256930866,0.0860396083872957,0.00138282833095151,0.828359044015047,0.893842071715167,0.912826590965586,0.978076982755214
"manylabs","Allowedforbidden",2,11.7501957919811,3.84145882069418,0.00060836838124434,7.849,4.75884383138652,0.00174939444378208,9.139,5.04323657468101,0.00221347086671797,9.53133333333333,6.08289572202274,0.00452011600347246,10.9426666666667,1,0.505277749950075,0.737927272743267,0.00259509485279297,0.00201127949314244,0.190145818363821,0.205177131151363,0.209534935868045,0.224512848205745
"manylabs","Anchoring1",2,1.626356190758,3.84145882069418,0.202207780233599,7.849,4.75884383138652,0.257010409968419,9.139,5.04323657468101,0.274575676357737,9.53133333333333,6.08289572202274,0.341421395096991,10.9426666666667,1,0.93,1.1589536758397,0.0313487777769949,0.000882652200272042,0.502975639461364,0.542736619883201,0.554263928939385,0.593883653951884
"manylabs","Anchoring2",2,22.7310253798235,3.84145882069418,1.86334957841261e-06,7.849,4.75884383138652,9.94371523355131e-06,9.139,5.04323657468101,1.39710358002532e-05,9.53133333333333,6.08289572202274,3.88902777030964e-05,10.9426666666667,1,0.93,1.7885837453116,0.0313487777769949,0.00108117359544134,0.50452223768854,0.544405479025234,0.555968233368131,0.595709784949668
"manylabs","Anchoring3",2,49.9890654450993,3.84145882069418,1.54609658409299e-12,7.849,4.75884383138652,2.51265674933165e-11,9.139,5.04323657468101,4.20976586923416e-11,9.53133333333333,6.08289572202274,2.00296113028742e-10,10.9426666666667,1,0.93,2.20526473861266,0.0313487777769949,0.00118433999722946,0.505324095417868,0.545270724813497,0.556851856312542,0.596656570759718
"manylabs","Anchoring4",2,68.311505048638,3.84145882069418,1.11022302462516e-16,7.849,4.75884383138652,3.99680288865056e-15,9.139,5.04323657468101,7.43849426498855e-15,9.53133333333333,6.08289572202274,4.71844785465692e-14,10.9426666666667,1,0.93,2.42240643766673,0.0313487777769949,0.00125593461520417,0.505879815337962,0.545870375228687,0.557464242842098,0.597312731716286
"manylabs","Flagpriming",2,3.67476204846707,3.84145882069418,0.0552421384449809,7.849,4.75884383138652,0.086071524748238,9.139,5.04323657468101,0.0964949953938345,9.53133333333333,6.08289572202274,0.138697233856672,10.9426666666667,0,0.5,0.0182884262841459,0.0625,0.000645868274274421,0.704011306787597,0.759664458928147,0.775799148713678,0.831254586695694
"manylabs","Gainloss",2,13.7607007028616,3.84145882069418,0.000207634639247112,7.849,4.75884383138652,0.000677527920460275,9.139,5.04323657468101,0.000876592607074622,9.53133333333333,6.08289572202274,0.00191063652940338,10.9426666666667,1,-1.21269079198559,-0.66012638792965,0.0213097761207599,0.000878586755717962,0.417320572482923,0.450310391094999,0.459874638022874,0.49274725654877
"manylabs","Gamblersfallacy",2,0.0493356865344854,3.84145882069418,0.824223286462529,7.849,4.75884383138652,0.844560614623215,9.139,5.04323657468101,0.850802749221243,9.53133333333333,6.08289572202274,0.873363463492362,10.9426666666667,1,0.69,0.630171729007084,0.0718313559322034,0.000721034871150528,0.754628196806563,0.814282690195396,0.831577429273446,0.891019993283448
"manylabs","IAT",2,0.779857328220276,3.84145882069418,0.377184777436225,7.849,4.75884383138652,0.434142369756789,9.139,5.04323657468101,0.451983214821837,9.53133333333333,6.08289572202274,0.518054436666962,10.9426666666667,1,0.925595249714646,0.797905985648374,0.0200691180425385,0.000837972995504453,0.405092282767272,0.437115436694558,0.446399432922952,0.478308820950397
