"paper","experiment","k","Q","p0","p25","p33","p67","mdh0","mdh25","mdh33","mdh67","mdh0scale","mdh25scale","mdh33scale","mdh67scale","mdh0ratio","mdh25ratio","mdh33ratio","mdh67ratio","mdh0ratioub","mdh25ratioub","mdh33ratioub","mdh67ratioub","t1","t195","t2","t295","v1","v2","replicated"
"manylabs","Gainloss",2,13.7607007028618,0.000207634639247112,0.000677527920460275,0.000876592607074622,0.00191063652940326,7.849,9.139,9.53133333333333,10.9426666666667,0.756935789051386,0.816772701076172,0.83412032607333,0.893744660656314,0.344127765495461,0.371331582684557,0.379218380367101,0.40632555289875,0.278434789945006,0.300445478660701,0.306826709924957,0.328759203163292,-2.19957778751616,2.71853883345859,-1.19733682274103,2.49186720657817,0.0701063533958936,0.00289043457032427,1
"manylabs","Gamblersfallacy",2,0.0493356865344854,0.824223286462529,0.844560614623215,0.850802749221243,0.873363463492362,7.849,9.139,9.53133333333333,10.9426666666667,0.754628196806563,0.814282690195396,0.831577429273446,0.891019993283448,1.09366405334284,1.18011984086289,1.20518468010644,1.2913333235992,0.277585954454256,0.299529541448354,0.305891318909538,0.327756948812782,0.69,2.71853883345859,0.630171729007084,2.49186720657817,0.0718313559322034,0.000721034871150528,1
"manylabs","IAT",2,0.660033587971354,0.416548085711598,0.472047432392001,0.489374194012971,0.553289377991708,7.849,9.139,9.53133333333333,10.9426666666667,0.184739458627841,0.199343390550883,0.203577291096754,0.218129340889128,0.412648537207019,0.445269024407073,0.4547261965776,0.487230795783359,0.0679554238306799,0.0733274022417672,0.0748848199596096,0.0802377138058455,0.447692023527421,2.71853883345859,0.394120312150452,2.49186720657817,0.00416666666666667,0.000181488203266788,1
"manylabs","Imaginedcontact",2,3.17296428945178,0.0748664519340622,0.111313272412976,0.123479272005299,0.172017693527278,7.849,9.139,9.53133333333333,10.9426666666667,1.13671467592245,1.22657367987535,1.2526251629891,1.3421649326009,1.32176125107262,1.42624846497134,1.45654088719663,1.56065689837315,0.418134426454485,0.451188581446479,0.460771480463084,0.493708206806584,0.86,2.71853883345859,0.13726864804912,2.49186720657817,0.163983838383838,0.00063843890721716,0
"manylabs","Mathartgender",2,3.13947904858514,0.0764182125729386,0.113259433748437,0.125546506748865,0.174519391245267,7.849,9.139,9.53133333333333,10.9426666666667,0.67446018119292,0.727777272431054,0.74323470286054,0.796362379062434,0.667782357616752,0.72057155686243,0.735875943426277,0.788477603032112,0.248096577798322,0.267708985236439,0.273394918517672,0.292937650645689,1.01,2.71853883345859,0.583442143962418,2.49186720657817,0.0570973547549497,0.000858631487219528,1
"manylabs","Moneypriming",2,4.61988762468124,0.031603308583899,0.0535654693219276,0.0611685372795081,0.0927920470166957,7.849,9.139,9.53133333333333,10.9426666666667,1.06548523752578,1.14971344729433,1.17413247808658,1.25806145755138,1.33185654690723,1.43714180911791,1.46766559760823,1.57257682193923,0.391933057719189,0.422915955124184,0.431898365267352,0.462771192402224,0.8,2.71853883345859,-0.0174401748359549,2.49186720657817,0.144,0.000637379460488692,0
"manylabs","Reciprocity",2,11.6465784985052,0.000643207307479798,0.00183717858079457,0.00232174563305132,0.00472462305632748,7.849,9.139,9.53133333333333,10.9426666666667,0.175548203089423,0.189425552444955,0.193448805725047,0.207276854217195,1.09717626930889,1.18390970278097,1.20905503578154,1.29548033885747,0.0645744695381401,0.0696791784298194,0.0711591106752506,0.0762456845074722,0.16,2.71853883345859,0.373839732731997,2.49186720657817,0.00286989795918367,0.00105635654558449,1
"manylabs","Scales",2,0.0455604201106201,0.830976865893538,0.850556001613633,0.856564786265479,0.878279331515701,7.849,9.139,9.53133333333333,10.9426666666667,1.04571112651737,1.12837616308431,1.15234200634417,1.23471336595812,4.90402459332285,5.29169510963679,5.40408665044162,5.79037992311394,0.384659256526784,0.415067149012827,0.423882856541037,0.454182721527389,0.213235294117647,2.71853883345859,0.133564632364844,2.49186720657817,0.139258995188149,5.96135673909631e-05,1
"manylabs","Sunkcosts",2,0.172209850936941,0.678155264794053,0.713977166093472,0.725009965929175,0.765051448802436,7.849,9.139,9.53133333333333,10.9426666666667,0.391679485017881,0.422642337119643,0.431618935826497,0.462471788871356,1.71854927681317,1.85440318063744,1.89378928025713,2.02916054762245,0.144077208019713,0.155466727904691,0.158768721827446,0.17011777914645,0.227912862495395,2.71853883345859,0.285929513543448,2.49186720657817,0.018901277635894,0.000644246505254263,1
"ppir","Bad Tipper",2,4.34689252754094e-05,0.994739507975148,0.99535762367376,0.995547078883572,0.996230674549945,7.849,9.139,9.53133333333333,10.9426666666667,0.661458323993745,0.713747598874615,0.728907049810701,0.781010561089946,1.03246047153059,1.11407802390114,1.13774018566382,1.21906778238824,0.234110175659219,0.252616936982506,0.257982326747527,0.276423340694403,0.640662129188497,2.82541466696686,0.64221875695516,2.09928186132307,0.054622061632738,0.00112097752901697,1
"ppir","Belief-Act Inconsistency",2,0.00565947302382099,0.940032137817006,0.947066076420837,0.949222350869497,0.957004144292275,7.849,9.139,9.53133333333333,10.9426666666667,0.512718541876277,0.553249713380501,0.565000312469899,0.605387492373286,1.37157924526143,1.48000464649207,1.51143880873521,1.61947901638483,0.181466652619415,0.195811864307488,0.199970757947695,0.214265006638187,0.373816200301683,2.82541466696686,0.360048549060051,2.09928186132307,0.0323005498079682,0.00119165342604066,1
"ppir","Bigot-Misanthrope",2,4.01450759271159,0.0451103941859189,0.0724855899659281,0.0818208292908716,0.119989041279692,7.849,9.139,9.53133333333333,10.9426666666667,0.431104102659637,0.465183530052939,0.475063671031671,0.509022027379557,0.476430681512024,0.514093243102976,0.525012188830683,0.562540949884077,0.152580825639457,0.16464256928075,0.168139451028497,0.180158343952395,0.904862174894915,2.82541466696686,1.21317467515595,2.09928186132307,0.0222222222222222,0.0014560485549431,1
"ppir","Burn in Hell",2,0.0107218963515993,0.917529174520837,0.927187279808672,0.930148422279446,0.94083674811658,7.849,9.139,9.53133333333333,10.9426666666667,0.46357075739312,0.500216722650171,0.510840941738797,0.547356718032496,1.70966268561448,1.84481409104529,1.88399652576521,2.01866779044259,0.164071760089917,0.17704187937382,0.180802112946909,0.193726154405538,0.271147496692603,2.82541466696686,0.288280940718201,2.09928186132307,0.0262127304057229,0.00116627929105768,1
"ppir","Cold-Hearted Prosociality",2,0.740909896745829,0.389369561574714,0.445933552146042,0.463632123287797,0.529092763843161,7.849,9.139,9.53133333333333,10.9426666666667,0.811491134718795,0.875640728831547,0.894238665535349,0.958160360912226,0.358427534879505,0.386761770335228,0.394976293355124,0.423209868213821,0.287211340765759,0.309915829017609,0.316498203251465,0.339122031224121,2.26403123574644,2.82541466696686,2.01470997571385,2.09928186132307,0.0820364839777222,0.00186182940324315,1
"ppir","Higher Standards - Charity",2,0.0249361867096333,0.874526174598098,0.889155034491788,0.893641988445491,0.909845595307267,7.849,9.139,9.53133333333333,10.9426666666667,0.688580218561659,0.743013519980419,0.758794556608426,0.81303447752721,0.747833569071182,0.806950936923181,0.824089955191549,0.882997301864333,0.243709437277347,0.262975034662101,0.268560422468184,0.287757576625033,0.920766661246409,2.82541466696686,0.881954985161369,2.09928186132307,0.058994891463797,0.00141314999300278,0
"ppir","Higher Standards - Company",2,9.47410168788738,0.0020839290578375,0.00514177340641631,0.00632664971100316,0.011913162602698,7.849,9.139,9.53133333333333,10.9426666666667,0.604499498101356,0.652286092169327,0.666140147897323,0.713756974649842,1.75490227126346,1.89362993394841,1.93384917968746,2.07208399655797,0.213950718515345,0.230863844445732,0.235767215228778,0.252620255353906,0.344463340209902,2.82541466696686,1.00860053122886,2.09928186132307,0.0451036388486031,0.00145256489770737,1
"ppir","Intuitive Economics",2,5.10792641144509,0.0238167693373132,0.0420872109601296,0.0484884351986004,0.0754761815444858,7.849,9.139,9.53133333333333,10.9426666666667,0.418114556468122,0.451167140707823,0.460749584339603,0.493684745511087,0.493597558110069,0.532617187103032,0.543929567177355,0.582810574496326,0.147983431018632,0.159681743703893,0.163073261325647,0.174730014423358,0.847075820368799,2.82541466696686,0.509780404365369,2.09928186132307,0.0210604350243459,0.00121243825002467,1
"ppir","Moral Cliff",2,0.000273107405836319,0.986814790576104,0.988363961117342,0.988838791846859,0.990552097928721,7.849,9.139,9.53133333333333,10.9426666666667,0.566472019311428,0.611252484014411,0.624235017413595,0.668856394417914,0.798224810826892,0.861325682092748,0.879619578195885,0.942496276433165,0.200491639664186,0.216340805178378,0.220935717759165,0.236728577308599,0.709664760638812,2.82541466696686,0.713006234259124,2.09928186132307,0.0397398265631407,0.00114315836013186,1
