"","paper","experiment","k","Q","replicated","p0","p25","p33","p67","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"19","manylabs","Gamblersfallacy",37,51.4100713948735,1,0.0461604103541644,0.253273674033832,0.353085600815214,0.734438592468449,0.247188658896836,0.305824998607599,0.322195418328007,0.378725830582543
"20","manylabs","IAT",36,47.6015964437232,1,0.0758520249146906,0.329626755556038,0.436415965747832,0.79475884569924,0.262744702790971,0.324230391656079,0.341513020758467,0.401118524630346
"21","manylabs","Imaginedcontact",37,49.6120581230921,0,0.0650223940475119,0.307143693589641,0.413525632074477,0.782354397140151,0.240799379504664,0.29792009969381,0.313867380319457,0.368936606613194
"22","manylabs","Mathartgender",36,51.3111898613182,1,0.0370222074705309,0.219226275530943,0.311958758479704,0.692322596886196,0.283711125161101,0.350103230440206,0.368764973555467,0.433126859407599
"23","manylabs","Moneypriming",37,33.4213961686937,0,0.591855203091669,0.874193049047053,0.921110667056449,0.990829852649952,0.239066204198096,0.295775792838943,0.311608291470367,0.366281152028608
"24","manylabs","Reciprocity",37,50.5397959664689,1,0.0546002773028029,0.278564756015229,0.381811865918427,0.758144618110844,0.293852602927055,0.363558232331816,0.383019037966341,0.450221185749617
"25","manylabs","Scales",37,33.4584665145749,1,0.590074709533609,0.873296057464211,0.920480177638613,0.990727468995459,0.666891734024741,0.825087059170684,0.869252910641289,1.02176664173967
"26","manylabs","Sunkcosts",37,36.2374920881202,1,0.457571297662908,0.795715228417971,0.863570868814311,0.979987465726362,0.229422270434712,0.28384419353774,0.299038008969996,0.351505365627562
"27","ppir","Bad Tipper",17,173.438431817156,1,0,0,0,0,0.265430965618056,0.312324564772438,0.32565472413443,0.371825842468172
"28","ppir","Belief-Act Inconsistency",14,83.8585653372231,1,2.06223926824123e-12,7.20216442040567e-10,2.68025834859742e-09,1.49503635582526e-07,0.285792098105845,0.332727069304069,0.346077042004636,0.392421699148653
"29","ppir","Bigot-Misanthrope",13,54.8792493733414,1,1.90239377695356e-07,8.82922247003037e-06,2.12317374541637e-05,0.000302767691219619,0.313094917322842,0.363153491699157,0.377383401592383,0.426763510788414
"30","ppir","Burn in Hell",16,37.3329993664705,1,0.00113118301149162,0.010869249184107,0.018269195926884,0.0816625925809763,0.271852596239963,0.318844747049432,0.332093437423659,0.378406044002831
"31","ppir","Cold-Hearted Prosociality",13,53.7477626002931,1,3.03117159816679e-07,1.29335964372812e-05,3.0533203898675e-05,0.000410850277192676,0.363893337468004,0.422073718850256,0.4386123757125,0.496004213604743
"32","ppir","Higher Standards - Charity",12,92.4800617469704,0,5.44009282066327e-15,3.23352455922077e-12,1.32449606837781e-11,1.01268282648448e-09,0.322736420393503,0.372938373251435,0.387147475081443,0.4366878949346
"33","ppir","Higher Standards - Company",12,105.644733218794,1,0,1.7874590696465e-14,8.60422844084496e-14,1.08927311615048e-11,0.318897366267629,0.368502150655974,0.382542230623067,0.431493351155736
"34","ppir","Intuitive Economics",16,52.4920587522992,1,4.68237493278512e-06,0.000154438824126135,0.000344990084545693,0.0037797941744574,0.277052198639006,0.324943147192048,0.338445239311217,0.385643646296953
"35","ppir","Moral Cliff",16,9.13129989623564,1,0.870552647712503,0.951601037089017,0.965613964292986,0.991721223845445,0.265194748818103,0.311036031199454,0.323960252503784,0.36913863313633
"36","ppir","Moral Inversion",15,62.273882631509,1,4.66582361635659e-08,3.44100387839053e-06,9.19457712844629e-06,0.000179189325849594,0.298955272586963,0.349362060066804,0.363651012997581,0.413376265559494
"37","ppir","Presumption of Guilt",18,25.7850173399419,0,0.0784673636396814,0.24115536203211,0.307752525598793,0.577705242370928,0.25278605565363,0.298491572327094,0.311359413187813,0.356309115044095
"38","rand","time/delay",22,19.2852015023794,0,0.566850322262369,0.806583808578024,0.857409340000682,0.963456426178189,0.221373056567764,0.264422246914703,0.276565722832734,0.318838829100315
"39","wagenmakers","Wagenmakers",18,12.0246728859348,0,0.798640876046913,0.922805671378821,0.94505117940661,0.986993119122699,0.29728626819639,0.351037739782544,0.366170822892436,0.419033426752613
